id,question,author,answer,date,answer_relevance
16380,"I congratulate my right hon. Friend on leading the Labour Party in four General Elections and emerging three times as Prime Minister, which must be a unique achievement. When he visits Wales there will be a welcome in the hillsides and in the dales, particularly in the miners' lodges. Does he agree that there has been a great deal of satisfaction with the way in which the miners' justifiable demands have been settled so early by the Government?","Mr. Evans","I thank my hon. Friend for what he has said. I am aware, as my right hon. Friend the Secretary of State for Employment emphasised yesterday, that in Wales, as indeed in other coalfields, there has been a very welcome rush of recruits to the mines.",1974-03-19,NULL
16497,"In view of the TUC's promise yesterday to fulfil its part of the social contract, will my right hon. Friend now look to the CBI for a corresponding response in respect not only of price restraint but of workers' participation in management and control? Is my right hon. Friend aware that one reason for this country lagging behind some of the EEC countries in this regard is that employers are dragging their feet?","Mr. Duffy","All who attended the NEDC meeting yesterday felt that it was one of the most successful for a long time. Both the CBI and the TUC are  anxious to start work on a bilateral basis to improve the climate of industrial relations and the existing machinery.",1974-04-04,NULL
16614,"Was not the point about that speech that the invective and innuendo that was indulged in against unnamed newspapers and unnamed Members of Parliament are calculated to bring this House and the Press into disrepute? Could not the right hon. Gentleman for once, either inside or outside the House, speak like a Prime Minister?","Mr. St. John-Stevas","There are certain precedents that I would not want to follow —despite the fact that the hon. Gentleman used to brief him. But concerning imputations against the Press, if they have been condemned by anything I said, it was not by my words but by their actions in certain cases. The hon. Gentleman objects to people being unnamed, but I am surprised that he wants to rise and identify himself.",1974-05-21,NULL
16731,"None of us would wish any harm to befall Her Majesty's present Ministers, but will the Prime Minister, arising out of his earlier answer, reflect upon the fact that very few of us are yet satisfied that appropriate arrangements have been made to defend the country from Her Majesty's present Ministers?","Mr. Peyton","I greatly welcome the spirit in which that question was put and the great solicitude the right hon. Gentleman has shown. I can assure him that none of Her Majesty's Ministers at this time will, like himself, who was a Minister a few months ago, find themselves on the back or front Opposition benches",1974-07-02,NULL
16848,"Will my right hon. Friend take into account that the Chancellor has said that any attempt by the Western countries rapidly to eliminate the balance of payments deficit caused by the oil situation would be a recipe for disaster? Will he comment on the "mournful minnies" opposite, with their carping criticisms of the Chancellor's mini-Budget, which was intended to  increase employment and help the balance of payments?","Mr. Edwin Wainwright","I hope that my hon. Friend will not be unfair to right hon. and hon. Members of the Opposition. Whatever they may have said they did not mean, otherwise they would not have supported the Government in the Division Lobby.",1974-07-25,NULL
16965,"asked the Prime Minister if he will list his official engagements on 10th November.","Mr. Tebbit","No, Sir. It is not my practice to list my official engagements. My public engagements are, of course, regularly reported in the Press.",1974-11-28,NULL
17082,"Is my right hon. Friend aware that the social contract has had a far greater impact on local bargaining than could ever have been expected in the circumstances in which it was introduced after the Tory repressive legislation? Is he aware that local trade union officials throughout the country are doing their best to ensure that it will succeed?","Mr. Golding","Yes, Sir. My hon. Friend has had much more experience of these matters, in terms both of national and local bargaining within the trade union movement, than most of those who have been putting questions this afternoon. I entirely agree with him. He is, of course, concerned with one of the public industries that were gravely attacked by the previous Government, not only during the statutory period but during the period of the Leader of the Opposition's confrontation with the Post Office workers a little earlier.",1975-01-21,NULL
17199,"When the renegotiations are complete, does the Prime Minister intend both to defend them and to attack them?","Mr. Cormack","When the negotiations are complete, if we find that the terms—replacing the utterly humiliating and grovelling terms negotiated by the Conservative Government on the basis of full Cabinet collective responsibility—are the right terms, we shall commend them  to Parliament. If we obtain terms that we regard as crippling to this country, we shall not commend them to Parliament.",1975-02-20,NULL
17316,"asked the Prime Minister when he next expects to visit the City of London.","Mr. Molloy","I have at present no plans to do so, Sir.",1975-03-27,NULL
17433,"If my right hon. Friend visits South-East Asia, he will probably have to go to Singapore. Will he convey to Lee Kuan Yew how much he has raised the status of both himself and his country by his forthright remarks to Congress in the United States of America? Will he also inform him that he would raise his prestige even further if he were to let out of gaol those people whom we put in gaol 13 years  ago when Her Majesty's Government had responsibility for internal affairs in Singapore?","Mr. Christopher Price","On the first part of the question, the Prime Minister of Singapore always makes a tremendous impression on Commonwealth Conferences because of his deep perception of world affairs. The last conference was no exception. I agree with my hon. Friend on the second part of the question.",1975-05-13,NULL
17550,"Does the Prime Minister recollect that in his radio interview with Mr. Nick Woolley, he said that he would not hesitate to take further measures if he thought that the situation needed them. Bearing in mind that the value of the pound has fallen to 75p, that unemployment is at the highest figure for June since records were kept, and that manufacturing production is down to where it was in the three-day working week, how much worse does the situation have to become before he takes action?","Mrs. Thatcher","We all saw the right hon. Lady's broadcast last night. I noted that her rating with her own party has fallen to 50 per cent., according to this morning's Gallup Poll. Nevertheless, since that broadcast—she correctly quoted what I said in that broad-  cast of five and a half weeks ago—there has been a debate in the House, and neither the right hon. Lady nor her party has put forward anything further.",1975-06-19,NULL
17667,"Will the right hon. Gentleman explain how the undertaking given by the Secretary of State for Energy on 6th November to the convener of shop stewards at Small Heath that, to use his own words, the Government were fully committed to securing the future of the motor-cycle industry in this country can be reconciled with the Government's decision to abandon the industry and allow it to collapse? Is it not clear that the undertaking was grossly misleading to the work force of NVT and their families, and is it not high time that the Secretary of State made a public statement on this matter and gave a public apology?","Mr. Stanley","I do not know where the hon. Gentleman has been. This matter is to be debated later this week. I have seen a transcript of the recording of what my right hon. Friend said to the shop stewards and I have no doubt this will be stated to the House. I think it has been published in the Press. The hon. Gentleman should familiarise himself with it. It is a very clear statement involving no possible commitment by any Government in this respect.",1975-08-05,NULL
17784,"Will the Prime Minister ensure that the Central Policy Review Staff's report on the motor industry is on the agenda for the next meeting of the NEDC? Since some of his hon. Friends have been discussing the contents of this report with newspaper reporters, will the right hon. Gentleman ensure that after that meeting the report is published, so that we can all have a look at it?","Mr. Hal Miller","That report is not on the agenda for tomorrow's meeting. I think the House knows that we have on the agenda a very important paper on the approach to industrial strategy. After tomorrow's meeting we hope to be able to publish the documentation that we shall have been discussing at the NEDC meeting. It is my intention to publish the CPRS report on the motor car industry as soon as possible. Since a considerable amount of the information contained in it was supplied by British motor car firms on the basis of confidentiality, we must naturally get their agreement to its publication.",1975-11-04,NULL
17901,"During the Christmas Recess did my right hon. Friend have occasion to visit his own constituency on Merseyside and discuss with the people there the high level of unemployment, which is 10.6 per cent. for the whole of Merseyside? Did he consider the answers to the problem of unemployment? Will he announce to the House what further measures the Government intend to take to deal with the most important issue before us, namely, the fact that too many thousands of people are unnecessarily out of work?","Mr. Heffer","My hon. Friend will be aware that visits to one's constituency do not technically feature as public engagements. Of course, I have recently been to my constituency, as my hon Friend will know, and, of course, the unemployment question has been constantly discussed by my constituents and myself. We have also discussed certain recent cut-backs, for example, in the Post Office programme, and matters of that kind. The unemployment policy was debated fully in the House immediately before Christmas. I have nothing to add to what my right hon. Friends the Secretary of State for Employment and the Chancellor said then, or what my right hon. Friend the Chancellor said yesterday in the House.",1976-01-13,NULL
18018,"Will my right hon. Friend reconsider the answer he has just given about the recent dispute at Chrysler? There is a widespread concern among trade unionists about the ease with which Members of this House blame workers for industrial disputes and automatically exonerate management for their appalling record in these matters. Is my right hon. Friend aware that if any women had been among the 57 workers claiming an extra £1 per week they would have automatically received the rise under the Equal Pay Act, but because men were involved in the dispute, the management seems to be exonerated? Is this not a clear case in which the management is to blame for an industrial dispute?","Mr. Atkinson","In my original answer I paid tribute to the reduction in the number of days lost through disputes—though they are still more than the country can afford. The total time lost through disputes averages two hours per worker per year. I have made clear on a number of occasions that where there is a highly vulnerable situation and where Government money has been voted by this House—even though it was rejected by the Conservatives—it is a very unwise act, which puts the continued supply of Government money and the permanent continuation of employment there severely at risk. Anyone who goes into a dispute unnecessarily when there is machinery for settling it is taking a very great risk with his job.",1976-02-10,NULL
18135,"As the Ferrybridge case refers to the rights of the individual where there is a closed shop, may I ask the Prime Minister about a closely-related case close to Ferrybridge? Does the Prime Minister approve of the action of the Barnsley branch of the NUJ, which is urging the local town council to refuse to give Press information to anyone who is not a member of the NUJ?","Mrs. Thatcher","The answer is "No", and that is not the first time I have said it. There is no ministerial responsibility for the NUJ.",1976-03-04,NULL
18252,"Before the Prime Minister finally lays down the reins of office at the end of the fifth ballot, will he take a look at the workings of the new Scottish Development Agency, which has some very serious problems on its  hands, and assess whether in terms of job creation in rural areas of Scotland it will be as effective as the old Small Industries Council and Development Commission undoubtedly were?","Mr. David Steel","I note that the hon. Member refers to a fifth ballot. It is not for me to make forecasts about that. The hon. Gentleman will have noticed, however, the much greater dignity surrounding the question of the leadership of the Labour Party as compared with the action of so many of his hon. Friends, particularly the weightier ones—by "weightier" I am talking of bulk and not intelligence— I know the hon. Member concerned. He was a Labour Party agent. He resigned because he objected to a Labour Government limiting the increase in council house rents which he wanted to raise. I guarantee not to shop him while I am speaking from this Bench.",1976-03-25,NULL
18369,"Will my right hon. Friend have in mind that this week is the fiftieth anniversary of the General Strike of 1926, which grew out of a  solidarity with the miners against wage cuts? Although this is not an exact historical parallel, will my right hon. Friend have in mind that workers, although having great sympathy with the difficulties of the Government, will be in no mood to take a lop-sided sacrificial position? They will expect to see a vigorous prosecution of Labour's Socialist policies.","Mr. Bidwell","Yes. The element of a voluntary wage agreement includes a concern by the TUC, and by most people in the country, that the social conditions which we expressed in the name of the social contract should be carried out. We accept our responsibilities under that.",1976-05-06,NULL
18486,"Does the Prime Minister realise that he had to borrow from the central bankers—capitalist central bankers—because they had not got enough confidence in his Government's policies to purchase sterling?","Mrs. Thatcher","The central bankers do not purchase sterling in this sense, although they may intervene from time to time. This is normal, standard practice, under which central banks give assistance to each other by means of swap facilities. I am sure that one day the right hon. Lady will understand these things a little better.",1976-06-08,NULL
18603,"When the Prime Minister finds himself with a spare 10 minutes in a busy day, will he take the Secretary of State for Prices and Consumer Protection by the arm and go outside to buy an ice cream cone or a soft drink? They will both then see what visitors to this country and local residents are having to pay for these products in the heat wave.","Mr. David Steel","I have not pursued my inquiries that far, but if the hon. Member would like to help me, I will go with him to do so.",1976-07-01,NULL
18720,"Is my right hon. Friend aware that although the Secretary of State for Prices and Consumer Protection is busy subsidising certain foods, such as sugar and butter, there is a great deal of scientific evidence that these may  be positively dangerous foods if taken in excessive quantities? Will he try to bring into closer consultation those concerned with agricultural prices and medical services in formulating future food policy?","Mr. Hooky","I hope that there is already a great deal of medical consultation. On the whole, I believe that people will go on eating what they like without paying over-much attention to the medical consequences. We must of course have certain limitations. I believe that there is already cross-fertilisation between the two Departments to make sure that medical consequences are taken into account.",1976-07-29,NULL
18837,"—but that what he does as Prime Minister of Great Britain is a matter for us, and we totally condemn his decision to invite Mr. Ponomarev to see him and to receive him? Is he not aware of the propaganda use that will be made of this visit in every Iron Curtain country in the world? Does he not think it both a major diplomatic blunder and a particularly insensitive decision to receive Mr. Ponomarev during the week of the 20th anniversary of the Hungarian uprising?","Mrs. Thatcher","The right hon. Lady is wrong in almost every particular, but if she is enunciating the doctrine—",1976-10-28,NULL
18954,"Disregarding the incipient authoritarianism that is inherent in Conservatism, may I ask whether my right hon. Friend is aware that nobody in the Labour Party would ever stand for a witch hunt of any kind? Does he not agree that if these matters are manipulated in any way they will damage not only the right wing and the moderates but also the left wing, because all those wings of the Labour Party are democratic? The issue is not between Left and Right in the party. It is between what is democratic and what is anti-democratic. If there are anti-democratic forces at work, they should be strongly resisted by all wings of the Labour Party.","Mr. Ashley","My hon. Friend expresses the matter admirably, but I do not think that the hon. Member for Burton (Mr. Lawrence) or the hon. Member for Cirencester and Tewkesbury (Mr. Ridley) was approaching these considerations with the same degree of dedication as was my hon. Friend.",1976-12-07,NULL
19071,"Will the Prime Minister discuss with the TUC and the CBI what effective steps can be taken to stern the appalling outflow of capital into manufacturing industry abroad when the Government's policy is to direct that capital into improving the efficiency of British industry?","Mr. Hooley","I am not sure that I altogether agree with my hon. Friend on that matter. I have been into it on a number of occasions, and so has the Chancellor. There is a considerable case for overseas investment, especially nowadays, when it is not possible for this country to export completely finished products. Industry needs to embark on considerable overseas investment if it is to retain control.",1977-01-11,NULL
19188,"On a point of order, Mr. Speaker. In reply to me at Question Time, my right hon. Friend used the word "months" in connection with problems that are affecting my constituency most seriously. If "months" is the word that he intended to use, it will  create great anxiety in my constituency. May I give him this opportunity to clear the matter up? asked the Prime Minister when he last took the chair at NEDC. asked the Prime Minister when he last took the chair at NEDC.","Mr. Mike Thomas","I took the chair at the meeting of the National Economic Development Council yesterday at which representatives from the trade unions, management and Government reaffirmed their commitment to the industrial strategy and reviewed the valuable reports of the sector working parties. There was agreement on the next steps to be taken, and on the need for action at company level, including the implications for investment, manpower, finance, product development and marketing. Discussions also covered a number of other matters, including prospects for employment and economic growth. The Government undertook to look into a number of points raised by the trade union representatives about manpower training.",1977-02-03,NULL
19305,"Will the right hon. Gentleman confirm that, among other things, the Royal Commission will have to consider the arrangements foe determining the remuneration of the profession? Since one of the members, Mr. Haines, appears to get his remuneration by selling confidences to the highest bidder and since the legal profession exists, and only subsists, on the basis of trust and confidence between client and lawyer, does the right hen. Gentleman think that this gentleman has very much to offer?","Mr. Thorpe","The right hon. Gentleman has suffered a great deal from personal obloquy and should be the last person to pursue that sort of vendetta against someone else.",1977-03-01,NULL
19422,"Can my right hon. Friend confirm that every Government Department and every Minister has been told to try to take seriously the Liberals, especially the Bunny Girl manager?","Mr. Skinner","Like many of my hon. Friends, I was very happy to have Liberal support in the Lobbies last week. It has preserved the Government in office and will enable us to continue to carry out our policies.",1977-03-29,NULL
19539,"On the question of the new Ambassador to Washington, will the Prime Minister agree that this appointment recognises brains and ability rather than orthodoxy and docility? Had the appointment been that of a diplomat, there would have been no complaints from either side of the House. Does my right hon. Friend recall that, had President Kennedy succumbed to charges and paid any attention to jibes about relatives and daughters, the American people would never have enjoyed the services of Robert Kennedy?","Mr. Ashley","I have read the newspapers and heard the criticisms that have been made. I considered this proposal when it was put in front of me, and the easiest course would have been to say "No".  That is a matter of judgment, and it could be said that my judgment is wrong. It would have been easy to say "No". I considered the matter, but in view of Mr. Jay's qualities and high calibre—of which I have seen no criticism at all—I believe that this is an imaginative appointment. The only question is whether I was right in my  judgment and whether, because he is my son-in-law, I should have refused the appointment. Frankly, I thought that if that was the only ground for my saying "No", I had no right to do so. My judgment may have been at fault, but that is the basis on which I approved the appointment.",1977-05-12,NULL
19656,"asked the Prime Minister whether his Government have any plans to introduce legislation to nationalise the banks and insurance companies.","Mr. Blaker","No, Sir.",1977-06-21,NULL
19773,"Will the Prime Minister believe me when I say that I want to ask him genuinely about his engagements today? Could he be more forthcoming about his conversation with Chancellor Schmidt on the telephone this morning? Did the Chancellor tell him of his discussions with the American President about Germany's intention to emulate the example of the United States in meeting the growth targets that were recently set out at the Heads of Government conference?","Mr. Pardoe","No, we did not discuss this aspect this morning. The telephone call was quite expensive.",1977-07-19,NULL
19890,"Bearing in mind the tragic deaths of which we have learned today, and bearing in mind, too, the chaotic and inadequate state of our firefighting services, will the Prime Minister spend a little time today considering whether he is still satisfied that the Home Secretary is capable of producing a quick and satisfactory solution to the negotiations with the firemen's union?","Mr. MacKay","Negotiations with the Fire Brigades Union are being conducted by the local authorities, not by my right hon. Friend. They are acting within the pay guidelines which the Government have prescribed. Clearly, that is one of their difficulties. But I do not believe that all the figures about pay have yet got across, or, indeed, the figures of what would be received in gross pay by a number of firemen. That will have to be publicised pretty soon so that we have a better indication of how firemen compare with other industrial workers.",1977-11-17,NULL
20007,"Will the Prime Minister reconsider his attitude towards the steel industry? Is it not scandalous that that industry should be losing £520 million a year and that action which needs to be taken is being deferred because so many steel mills are situated in marginal Labour seats?","Mr. Gow","It is, of course, true that the steel industry is losing a very large sum of money every year. So, indeed, are the steel companies in almost any country that the hon. Gentleman may care to enumerate—France, Italy, Belgium, Luxembourg, and the United States. All of these are countries in which substantial losses are being made. It is interesting to note, and this should  be put down to the credit of the British Steel Corporation, that according to the figures that I have been given, the loss per ton of the British Steel Corporation is lower than the loss per ton in some of the steel industries in those other countries.",1978-01-17,NULL
20124,"asked the Prime Minister if he will visit Twickenham.","Mr. Jessel","I have at present no plans to do so, in view of the result last Saturday.",1978-02-09,NULL
20241,"Apropos this evening's engagement, has the Prime Minister read today's Press reports of his miraculous eleventh-hour conversion to the Tory principle of cutting taxes? Is he aware that it will cost some £5,000 million to return to the Tory tax levels of 1973?","Mr. Roberts","I am not sure whether the hon. Member is congratulating me or— Then we are all agreed. That is splendid. But, as regards cutting taxes, since we began, taking the example of a married man with two children and earning £60 a week, which is a fair example, during 1977–78 I am glad to say that his tax bill was reduced by £106 a year. That is a good start.",1978-03-14,NULL
20358,"Is the Prime Minister saying that those figures are inaccurate or is he merely stalling? If they are accurate, is he prepared to take them into account in finalising the Armed Forces' pay claim?","Mrs. Thatcher","I am saying that the figures have not been officially issued.  I am not aware whether they are right or wrong. I am making inquiries about that. I believe that they were produced extremely fortuitously. I say for the third time that I shall be interested to see whether they are right or wrong. If they are right, it shows that there are better opportunities in civilian life than there are in the Armed Forces, or that many people think so. That is a factor that must be taken into account.",1978-04-18,NULL
20475,"Will the Prime Minister consult the Foreign Secretary in view of the report on the tape that one of the Falkland Islands has been occupied by the Argentine? Will he arrange for the Foreign Secretary to make a statement tomorrow?","Mr. Hugh Fraser","Yes, I shall be consulting the Foreign Secretary about this matter. I understand that a protest has been made about the occupation of this island, which clearly is within the sovereignty of this country. I understand that the island is several hundred miles from the Falkland Islands, that it was unoccupied and has been occupied by what is said to be a scientific party. Clearly this is a serious matter. I shall certainly ask the Foreign Secretary to consider what the right hon. Member says.",1978-05-09,NULL
20592,"May I put two questions to the Prime Minister, one concerning the NATO summit and the other about the United Nations Special Session on Disarmament? Why, when the United States is beginning to take the lead in pursuing a more robust policy towards Soviet expansionism in Africa, does the Prime Minister fail so pointedly to support it? Is he not aware that, by playing down the Soviet threat and failing to support a determined Western response, he  is indirectly encouraging the Russians to continue their African incursions?","Mrs. Thatcher","We have already dealt with the first question during Question Time today. There is no question that the United States wishes to be directly involved in military intervention in Africa, and it is reckless of the right hon. Lady even to suggest that it might so wish. Our policies are closely related and both of us fully appreciate the nature of the Soviet threat and of the response that has to be made to it.",1978-06-06,NULL
20709,"When the Prime Minister next meets the TUC will he remind trade union leaders of his own words when he said that he would find it "intolerable and not at all acceptable" that people should lose their jobs because of their political opinions? How does he reconcile that advice with the dismissal by British Rail, without compensation, of 42  employees, two of whom have 39 years of faultless service?","Mr. Gow","I am not aware of this. Is the hon. Member referring to new dismissals, or is this an old issue?",1978-06-29,NULL
20826,"May I ask my right hon. Friend to reflect on the decision taken last night when the dock labour scheme was voted down by all the Tory parties on the Benches opposite? Will he give an assurance that, in the event of a Labour Government being returned, the scheme will be put on the statute book and that the nationalisation of the docks will follow?","Mr. Loyden","The Secretary of State for Employment for the time being will, of course, carry on the dock labour scheme under the 1967 regulations, which arose out of the 1946 Act. He will have discussions with both sides of industry to see how the damage that was done by the Opposition last night can be repaired, and in due course, when we have a majority in this House, we shall certainly make sure that a full decasualisation scheme goes through.",1978-07-25,NULL
20943,"The Chancellor of the Exchequer referred us to the policies in the White Paper, and I have sought to refresh my memory. Here is the White Paper! Which paragraph? Which policies? In the course of a busy day, will the Prime Minister consult his right hon. Friend the Minister of Agriculture, Fisheries and Food and confirm with him that he rather under-did his  figures at the Guildhall on Monday? Will my right hon. Friend confirm that instead of just £2 billion supporting exports on world markets from the EEC, the total figure for support prices is in fact £5·2 billion and that, in addition to that, there is another £700 million towards storage costs, making the total support cost nearly £6 billion? In the course of a busy day, will the Prime Minister consult his right hon. Friend the Minister of Agriculture, Fisheries and Food and confirm with him that he rather under-did his  figures at the Guildhall on Monday? Will my right hon. Friend confirm that instead of just £2 billion supporting exports on world markets from the EEC, the total figure for support prices is in fact £5·2 billion and that, in addition to that, there is another £700 million towards storage costs, making the total support cost nearly £6 billion?","Mrs. Thatcher","If my hon. Friend reads my speech again—I noticed his apparent correction of what I said and therefore went back and checked it—he will find that I was exactly accurate. He has taken a different base.",1978-11-16,NULL
21060,"asked the Prime Minister if he will pay an official visit to Walker.","Q1. Mr. Mike Thomas","I have at present no plans to visit Walker, in Newcastle-upon-Tyne.",1978-12-14,NULL
21177,"The danger that the country runs is that the Prime Minister will do nothing about the situation. Does he not realise that if the law is unenforceable he must change it so that it is easier for the police to enforce? The chief constable of Greater Manchester says that the law is virtually unenforceable at present.","Mrs. Thatcher","This argument will go on. I am glad that it will do so. I do not wish to see the country repeat the fatal mistake that was made with the legislation of 1971–72. Surely we have all learned from those experiences.",1979-02-06,NULL
21294,"Why is it considered to be right and proper for the right hon. Member for Birkenhead (Mr. Dell) to give up his Government position when he accepts a job in the City and yet not right, necessary or relevant for the right hon. Member for Lewisham, East (Mr. Moyle), for example, to give up his sponsorship of NUPE while retaining his job in the Government? Is there not— It is strictly relevant to the TUC— When the Prime Minister meets his friends at the TUC council, will he tell them on behalf of all hon. Members that stopping blood donors from giving blood and preventing patients from receiving it is repugnant to all civilised people in the country? When the Prime Minister meets his friends at the TUC council, will he tell them on behalf of all hon. Members that stopping blood donors from giving blood and preventing patients from receiving it is repugnant to all civilised people in the country?","Mr. Adley","My right hon. Friend the Minister of State, Department of Health and Social Security has answered questions on this matter this afternoon and I prefer to leave that to him. It is not good practice or principle for the Prime Minister to intervene and express opinions on such matters where a Minister has already given an answer.",1979-03-06,NULL
21411,"Will the right hon. Lady confirm the figures published by the Government last week, which show that the hon. Member for Wolverhampton, South-West (Mr. Budgen) was talking through his hat and that the money supply, M3, rose only 10½ per cent. in the past 12 months, which was barely one-third of the amount it rose in the final 12 months of the previous Conservative Government?","Mr. Healey","A Chancellor of the Exchequer frequently takes the year-by-year sum. There are considerable variations within the yearly sum. There was a sharp rise during the past six months.",1979-05-22,NULL
21528,"But if there is a choice between not using those reserves and mortgage interest rates rising, will the right hon. Lady not allow her prejudices to stand in the way but advance this money at very little cost? At the moment, does she not realise that the Government are looking like a lot of Charlies in relation to their monetary policy?","Mr. Callaghan","The Government intend to run a firmly-controlled monetary policy. That was the former Chancellor of the Exchequer's intention, but it slipped a bit when we came up to the election. Because it slipped a bit, we now face monetary troubles. I emphasise that the building societies have substantial reserves. I think that it will be for them to consider using some of those first.",1979-07-05,NULL
21645,"asked the Prime Minister if she will pay an official visit to Bath.","Mr. Chris Patten","I have no plans to do so.",1979-07-26,NULL
21762,"Knowing the Prime Minister's deep attachment to her mandate, may I ask whether she recalls the detailed commitment given by her colleagues in Scotland during the election campaign to the hill farming community? As that community believes that it has sympathetic ears among Ministers at the Scottish Office and the Ministry of Agriculture, will the right hon. Lady give those Ministers support in the battle with the Treasury to get a better deal for the hill farming community?","Mr. David Steel","The compensatory amounts payable to hill farmers are being reviewed and my right hon. Friend the Minister of Agriculture expects to be able to make an announcement by the end of the month.",1979-11-06,NULL
21879,"Does not the right hon. Lady agree that there will be a long period between the taking of the decision on 12 December and the moment when the cruise missiles can be added to the armament of the West? Therefore, while we should not allow the Soviet Union to determine our decision on 12 December, which must be what we regard to be in our interest, we should use the intervening period to negotiate seriously with the Soviet Union. We should negotiate both on Mr. Brezhnev's at present inadequate offer and on the possibility of the withdrawal of the SS20s, which would remove a large threat from Europe.","Mr. James Callaghan","As the right hon. Gentleman knows, we are always prepared seriously to try to negotiate genuine disarmament. As he in particular will be aware, the latest weapons, such as the SS20s, are already being provided to the Warsaw Pact forces. We have no modern reply. Yes, we must have the modernisation of the theatre nuclear forces. Yes, we are always prepared genuinely to negotiate on disarmament. But I had understood that the Soviet Union was somewhat reluctant to negotiate on disarmament at the theatre nuclear force level if we put in sufficient to deter. But we are ready to try.",1979-11-27,NULL
21996,"If the right hon. Lady understood, it was a damned bad answer. I do not assume that she was trying to deceive the House. Assuming that she was not trying to deceive the House, we should try to get the facts right. The pension increase of 19·5 per cent. this year was made up of 17½per cent. based on earnings and the 2 per cent. that she pledged to give before the election to make up for the shortfall. Now that the figures have been published, it is seen that the estimate was too low. I repeat my question. Now that the right hon. Lady has won the election and does not need the votes, does she propose to renege on the undertaking she gave before the election?","Mr. Callaghan","I am grateful for the right hon. Gentleman's confirmation that pensions did go up by some 19 per cent. this year. Most hon. Members on the Government side of the House remember very well the time the Opposition were in power when they left out three or four months' rapid increase in the cost of living from their calculations.",1980-01-17,NULL
22113,"asked the Prime Minister if she will list her official engagements for Tuesday 12 February.","Mr. Shersby","In addition to my duties in this House, I shall be having meetings with ministerial colleagues and others. This evening I hope to have an audience of Her Majesty the Queen.",1980-02-12,NULL
22230,"Will my right hon. Friend find time today to consider the plight of the people of Cambodia? Is she aware that for a nation of 42 million people there are only 56 doctors in the entire country, and that all outside assistance has been refused by the authorities in Pnom Penh, apart from a 10-man Soviet team, which is but a drop in the  ocean? Is she further aware that the International Committee of the Red Cross says that up to the end of last year, of the 40,000 tonnes of relief supplies that it delivered to Pnom Penh, only 2 per cent. were distributed? Will she make representations to the United Nations and also the Soviet Government, who are financing the Vietnamese occupation of Cambodia to the tune of $2½ million per day?","Mr. Churchill","I shall, of course, look further into the matters revealed by my lion. Friend. I thought that the relief operation through this country and the EEC was going well. In view of the new points that my hon. Friend raises, I shall look at the matter again.",1980-02-28,NULL
22347,"Is the right hon. Lady aware that she is the person who refused to have the inquiry? She is the person who blocked the door to any intervention then. When will she accept her responsibilities in these matters?","Mr. Foot","I really must correct the right hon. Gentleman. He knows full well that what he says is not true. He knows full well—we have said so in this House a number of times when the right hon. Gentleman the Leader of the Opposition was here—that the British Steel Corporation would have gone for arbitration or mediation, that it accepted going for arbitration or mediation some time ago, but that it took some time before the unions would accept the proposal. The right hon. Gentleman knows that. There is no point in persisting in a denial.",1980-04-01,NULL
22464,"Does my right hon. Friend accept that the whole country will welcome the fact that the Foreign Secretary is to make an early visit to Washington? Will she reflect that Britain has the longest history of good relations with many of the Gulf States of any other country and that therefore our help and guidance can be of the greatest importance in maintaining stability and peace in that area at this time?","Mr. Patrick McNair-Wilson","I endorse warmly what my hon. Friend has said. Britain could not have a better emissary to those parts of the world than our present Foreign Secretary.",1980-04-29,NULL
22581,"Will the Prime Minister find time to contact the British Steel Corporation and inform it that the works at Consett, which it proposes to close at the end of September, is meeting all the criteria of profitability and viability laid down by the Secretary of State for Industry? Will she ask the BSC to reconsider its ill-judged proposal?","Mr. David Watkins","I believe that I am right in saying that the Consett works had a long period of unprofit-ability lasting about five years. Recently it has come into marginal profitability. I shall not conceal from the hon. Gentleman that a decision to close Consett gives rise to serious concern. I hope  that consideration will be given to selling it to the private sector.",1980-06-17,NULL
22698,"During the Prime Minister's heavy day will she please do something that every hon. Member will support? Will she send a letter or telegram to John and Harriet Orton, who are 104 and 102 years of age respectively, congratulating them on having achieved 80 years of happy, married life? May I say, even though I may be out of order when I say it, that I know they are staunch Methodists, and perhaps you, Mr. Speaker, may also like to send them a message.","Mr. Arthur Lewis","I am grateful to the hon. Gentleman for making that suggestion. I have already sent a personal telegram, and I would be only too happy to send a telegram on behalf of the House. I am happy with the hon. Gentleman's suggestion that I should join the House's most distinguished bachelor in doing so. Hope springs eternal, Mr. Speaker.",1980-07-10,NULL
22815,"I congratulate the Prime Minister on her smart outfit. Obviously I cannot say the same about her policies, which have created vast unemployment and inflation. Does the Prime Minister appreciate that she is creating disaster for this country, particularly for working people? Does she also appreciate that the day of reckoning must come? While she may win votes in the House, the real fight will take place elsewhere. Indeed, during the winter the Labour Party will be organising opposition to the very policies in which she believes. Is that not one of our democratic rights?","Mr. Brown","I recognise that the hon. Gentleman feels deeply about unemployment and the industrial recession. There is a world recession and unemployment is rising elsewhere. In fact, the recession has bitten more deeply in the United States. Industrial production there has gone down more rapidly and deeply than in this country. At this stage of the cycle, industrial production has not gone down by as much as it did at a similar stage under the previous Labour Government, in the six months to May 1975.",1980-08-07,NULL
